Table 1.6  Changes to census subdivisions in alphabetical order by province and territory (with 8C and 9C) - Ontario,,,,,,,,"From January 2, 2006 to January 1, 2011"
Tableau 1.6  Changements apportés aux subdivisions de recensement en ordre alphabétique par province et territoire (inclus 8C et 9C) - Ontario,,,,,,,,Du 2 janvier 2006 au 1er janvier 2011
Census subdivision,,Type,Change,,SGC code,Population 2006,Remarks,File no.
Subdivision de recensement,,Genre,Changement,,Code CGT,,Remarques,No de dossier
,,,Code,Date,,,,
,Thunder Bay,CY,9C,02/08/2007,35 58 004,0,,
,Fort William 52,IRI,8C,02/08/2007,35 58 003,889,,
,,,,,,,,
Garden River 14,,IRI,8C,02/08/2007,35 57 074,985,Part taken from - Partie prise de,350025
,,,,,,,,
,"Algoma, Unorganized, North Part",NO,9C,02/08/2007,35 57 095,0,,
,Garden River 14,IRI,8C,02/08/2007,35 57 074,985,,
,,,,,,,,
Garden River 14,,IRI,9C,02/08/2007,35 57 074,985,Part lost to - Partie donnée à,350026
,,,,,,,,
,"Algoma, Unorganized, North Part",NO,8C,02/08/2007,35 57 095,0,,
,Garden River 14,IRI,9C,02/08/2007,35 57 074,985,,
,,,,,,,,
Garden River 14,,IRI,9C,02/08/2007,35 57 074,985,Part lost to - Partie donnée à,350027
,,,,,,,,
,"Macdonald, Meredith and Aberdeen Additional",TP,8C,02/08/2007,35 57 051,0,,
,Garden River 14,IRI,9C,02/08/2007,35 57 074,985,,
,,,,,,,,
Gordon,,TP,4,01/01/2009,35 51 024,412,"Now part of (dissolution) - Maintenant partie de (dissolution) - Gordon/Barrie Island, MU",350037
,,,,,,,,
,,,,,,,,
Gordon/Barrie Island,,MU,1,01/01/2009,35 51 027,459,Incorporation from the amalgamation of - Constitution due à une amalgamation de,350037
,,,,,,,,
,Barrie Island,TP,4,01/01/2009,35 51 031,47,,
,Gordon,TP,4,01/01/2009,35 51 024,412,,
,,,,,,,,
Gordon/Barrie Island,,MU,8C,02/01/2006,35 51 027,459,Part taken from - Partie prise de,350069
,,,,,,,,
,Northeastern Manitoulin and the Islands,T,9C,02/01/2006,35 51 017,0,,
,Gordon/Barrie Island,MU,8C,02/01/2006,35 51 027,459,,
,,,,,,,,
Greater Sudbury / Grand Sudbury,,CV,3,02/01/2010,35 53 005,157857,Previously - Auparavant - C,350068
,,,,,,,,
Greenstone,,MU,6,10/04/2008,35 58 075,4886,Part incorporated as - Partie de la constitution de,350041
,,,,,,,,
,Lake Nipigon,IRI,1,10/04/2008,35 58 077,20,,
,Greenstone,MU,6,10/04/2008,35 58 075,4906,,
,,,,,,,,
Hudson,,TP,10,02/01/2006,35 54 021,455,Population taken from (revision) - Population prise de (révision),350040
,,,,,,,,
,Temiskaming Shores,CY,11,02/01/2006,35 54 020,150,,
,Hudson,TP,10,02/01/2006,35 54 021,305,,
,,,,,,,,
"Kenora, Unorganized",,NO,9C,02/01/2006,35 60 090,7041,Part lost to - Partie donnée à,350002
,,,,,,,,
,Machin,TP,8C,02/01/2006,35 60 021,0,,
,"Kenora, Unorganized",NO,9C,02/01/2006,35 60 090,7041,,
,,,,,,,,
"Kenora, Unorganized",,NO,8C,02/01/2006,35 60 090,7041,Part taken from - Partie prise de,350003
,,,,,,,,
,Machin,TP,9C,02/01/2006,35 60 021,0,,
,"Kenora, Unorganized",NO,8C,02/01/2006,35 60 090,7041,,
,,,,,,,,
"Kenora, Unorganized",,NO,8C,02/08/2007,35 60 090,7041,Part taken from - Partie prise de,350030
,,,,,,,,
,Sabaskong Bay 35D,IRI,9C,02/08/2007,35 60 063,0,,
,"Kenora, Unorganized",NO,8C,02/08/2007,35 60 090,7041,,
,,,,,,,,
"Kenora, Unorganized",,NO,9C,02/08/2007,35 60 090,7041,Part lost to - Partie donnée à,350033
,,,,,,,,
,Pikangikum 14,IRI,8C,02/08/2007,35 60 077,0,,
,"Kenora, Unorganized",NO,9C,02/08/2007,35 60 090,7041,,
,,,,,,,,
"Kenora, Unorganized",,NO,8C,02/08/2007,35 60 090,7041,Part taken from - Partie prise de,350034
,,,,,,,,
,Pikangikum 14,IRI,9C,02/08/2007,35 60 077,0,,
,"Kenora, Unorganized",NO,8C,02/08/2007,35 60 090,7041,,
,,,,,,,,
"Kenora, Unorganized",,NO,5A,02/01/2010,35 60 090,7041,Complete annexation of - Annexion complète de,350050
,,,,,,,,
,Lake Of The Woods 31G,IRI,4,02/01/2010,35 60 062,0,,
,"Kenora, Unorganized",NO,5A,02/01/2010,35 60 090,7041,,
,,,,,,,,
"Kenora, Unorganized",,NO,5A,02/01/2010,35 60 090,7041,Complete annexation of - Annexion complète de,350051
,,,,,,,,
,Wunnumin 2,IRI,4,02/01/2010,35 60 072,0,,
,"Kenora, Unorganized",NO,5A,02/01/2010,35 60 090,7041,,
,,,,,,,,
"Kenora, Unorganized",,NO,5A,02/01/2010,35 60 090,7041,Complete annexation of - Annexion complète de,350052
,,,,,,,,
,Wapekeka 1,IRI,4,02/01/2010,35 60 074,0,,
,"Kenora, Unorganized",NO,5A,02/01/2010,35 60 090,7041,,
,,,,,,,,
"Kenora, Unorganized",,NO,5A,02/01/2010,35 60 090,7041,Complete annexation of - Annexion complète de,350053
,,,,,,,,
,Sachigo Lake 2,IRI,4,02/01/2010,35 60 087,0,,
,"Kenora, Unorganized",NO,5A,02/01/2010,35 60 090,7041,,
,,,,,,,,
Killarney,,MU,5A,02/01/2006,35 51 036,459,Complete annexation of - Annexion complète de,350065
,,,,,,,,
,"Manitoulin, Unorganized, Mainland",NO,4,02/01/2006,35 51 091,5,,
,Killarney,MU,5A,02/01/2006,35 51 036,454,,
,,,,,,,,
Killarney,,MU,7C,02/01/2006,35 52 036,459,Previously - Auparavant - 35 51 036,350066
,,,,,,,,
King,,TP,9C,02/01/2006,35 19 049,19487,Part lost to - Partie donnée à,350006
,,,,,,,,
,Newmarket,T,8C,02/01/2006,35 19 048,0,,
,King,TP,9C,02/01/2006,35 19 049,19487,,
,,,,,,,,
Lake Nipigon,,IRI,1,10/04/2008,35 58 077,20,Incorporation from part of - Constitution d'une partie de,350041
,,,,,,,,
,Greenstone,MU,6,10/04/2008,35 58 075,20,,
,,,,,,,,
Lake Of The Woods 31G,,IRI,4,02/01/2010,35 60 062,0,"Now part of (dissolution) - Maintenant partie de (dissolution) - Kenora, Unorganized, NO",350050
,,,,,,,,
,,,,,,,,
Lake of the Woods,,TP,8C,02/08/2007,35 59 047,323,Part taken from - Partie prise de,350028
,,,,,,,,
,Big Grassy River 35G,IRI,9C,02/08/2007,35 59 051,0,,
,Big Island Mainland 93,IRI,9C,02/08/2007,35 59 052,0,,
,Lake of the Woods,TP,8C,02/08/2007,35 59 047,323,,
,,,,,,,,
Latchford,,T,11,02/01/2006,35 54 006,390,Population lost to (revision) - Population donnée à (révision),350013
,,,,,,,,
,Coleman,TP,10,02/01/2006,35 54 001,56,,
,Latchford,T,11,02/01/2006,35 54 006,446,,
,,,,,,,,
Latchford,,T,10,02/01/2006,35 54 006,390,Population taken from (revision) - Population prise de (révision),350015
,,,,,,,,
,Cobalt,T,11,02/01/2006,35 54 008,0,,
,Latchford,T,10,02/01/2006,35 54 006,390,,
,,,,,,,,
"Macdonald, Meredith and Aberdeen Additional",,TP,8C,02/08/2007,35 57 051,1550,Part taken from - Partie prise de,350027
,,,,,,,,
,Garden River 14,IRI,9C,02/08/2007,35 57 074,0,,
,"Macdonald, Meredith and Aberdeen Additional",TP,8C,02/08/2007,35 57 051,1550,,
,,,,,,,,
Machin,,TP,8C,02/01/2006,35 60 021,978,Part taken from - Partie prise de,350002
,,,,,,,,
,"Kenora, Unorganized",NO,9C,02/01/2006,35 60 090,0,,
,Machin,TP,8C,02/01/2006,35 60 021,978,,
,,,,,,,,
Machin,,TP,9C,02/01/2006,35 60 021,978,Part lost to - Partie donnée à,350003
,,,,,,,,
,"Kenora, Unorganized",NO,8C,02/01/2006,35 60 090,0,,
,Machin,TP,9C,02/01/2006,35 60 021,978,,
,,,,,,,,
"Manitoulin, Unorganized, Mainland",,NO,4,02/01/2006,35 51 091,5,"Now part of (dissolution) - Maintenant partie de (dissolution) - Killarney, MU",350065
,,,,,,,,
,,,,,,,,
Michipicoten,,TP,23,05/06/2007,35 57 076,3204,Name and status changed to - Nom et genre changé à - Wawa MU,350058
,,,,,,,,
,,,,,,,,
Midland,,T,9C,02/01/2006,35 43 074,16300,Part lost to - Partie donnée à,350009
,,,,,,,,
,Penetanguishene,T,8C,02/01/2006,35 43 072,0,,
